device_equip_type,device_eq_description,device_vendor,device_model,device_serial_number,device_ip,device_version_summary,device_mgmt_ip,device_fw_type,device_fw_version,device_contact,device_location,device_hostname,unique_id,device_object,org_id,parent_sn,CLLI_code,collection_timestamp,target,total_eth_ports,up_eth_ports,down_eth_ports,admin_down_eth_ports,device,node_label,node_type,node_id,device_status,timestamp,device_role,_RDA_Id,count_,projectId,customerId,location_locationName,location_longitude,location_latitude,Country,State,City,device_additional_ips,family,Product_Family,product_type,__uuid
,,Cisco Systems,CISCO2951/K9,FTX1626AMMM,10.95.158.254,,,,,,,cfx-isr.engr.cloudfabrix.com,Not Available_Not Available_10.95.158.254,CDP,,,cfx-isr.,2025-03-20T12:54:48.490893,,,,,,,,,,,2025-03-20T12:54:53.520173,,17424752938460568890c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,CISCO2951/K9,FTX1626AMMM,10.95.158.254,,,,,,,cfx-isr.engr.cloudfabrix.com,CFX-MainSwitch.cfx.local_GigabitEthernet0/24_10.95.158.254,CDP,,,cfx-isr.,2025-03-20T12:54:48.466763,,,,,,,,,,,2025-03-20T12:54:53.518310,,17424752938460560490c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,,,,,,Rack2-Switch-2.cfx.local,Not Available_Not Available_10.95.158.251,CDP,,,Rack2-Sw,2025-03-20T12:54:48.466019,,,,,,,,,,,2025-03-20T12:54:53.518253,,17424752938460560190c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,,,,,,Rack2-Switch-2.cfx.local,c2960-s.cfx.local_GigabitEthernet1/0/45_10.95.158.251,CDP,,,Rack2-Sw,2025-03-20T12:54:48.461434,,,,,,,,,,,2025-03-20T12:54:53.517879,,17424752938460558290c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,,,,,,Rack2-Switch-2.cfx.local,c2960-s.cfx.local_GigabitEthernet1/0/46_10.95.158.251,CDP,,,Rack2-Sw,2025-03-20T12:54:48.461223,,,,,,,,,,,2025-03-20T12:54:53.517860,,17424752938460558190c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,,,,,,cisco-rack-01,Not Available_Not Available_10.95.158.83,CDP,,,cisco-ra,2025-03-20T12:54:48.443424,,,,,,,,,,,2025-03-20T12:54:53.516233,,17424752938450550990c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,,,,,,cisco-rack-01,N5K-B.engr.cloudfabrix.com(SSI144913H3)_Ethernet1/9_10.95.158.83,CDP,,,cisco-ra,2025-03-20T12:54:48.400645,,,,,,,,,,,2025-03-20T12:54:53.512852,,17424752938440534390c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,,,,,,cisco-rack-01,N5K-B.engr.cloudfabrix.com(SSI144913H3)_Ethernet1/10_10.95.158.83,CDP,,,cisco-ra,2025-03-20T12:54:48.400386,,,,,,,,,,,2025-03-20T12:54:53.512833,,17424752938440534290c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,,,,,,cisco-rack-01,cfx-cisco-rack-02(FOC2121R4P2)_mgmt0_10.95.158.83,CDP,,,cisco-ra,2025-03-20T12:54:48.388383,,,,,,,,,,,2025-03-20T12:54:53.511934,,17424752938440529590c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,,,,,,cisco-rack-01,cfx-cisco-rack-01(FOC2124R0S6)_mgmt0_10.95.158.83,CDP,,,cisco-ra,2025-03-20T12:54:48.387793,,,,,,,,,,,2025-03-20T12:54:53.511893,,17424752938440529390c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,,,,,,cisco-rack-01,c2960-s.cfx.local_GigabitEthernet1/0/35_10.95.158.83,CDP,,,cisco-ra,2025-03-20T12:54:48.386211,,,,,,,,,,,2025-03-20T12:54:53.511798,,17424752938440528890c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2121R4P2,10.95.158.82,,,,,,,cfx-cisco-rack-02,Not Available_Not Available_10.95.158.82,CDP,,,cfx-cisc,2025-03-20T12:54:48.385835,,,,,,,,,,,2025-03-20T12:54:53.511779,,17424752938440528790c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2121R4P2,10.95.158.82,,,,,,,cfx-cisco-rack-02,cfx-cisco-rack-01(FOC2124R0S6)_Ethernet1/48_10.95.158.82,CDP,,,cfx-cisc,2025-03-20T12:54:48.384927,,,,,,,,,,,2025-03-20T12:54:53.511741,,17424752938440528590c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2121R4P2,10.95.158.82,,,,,,,cfx-cisco-rack-02,cfx-cisco-rack-01(FOC2124R0S6)_Ethernet1/47_10.95.158.82,CDP,,,cfx-cisc,2025-03-20T12:54:48.384590,,,,,,,,,,,2025-03-20T12:54:53.511722,,17424752938440528490c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2121R4P2,10.95.158.82,,,,,,,cfx-cisco-rack-02,cfx-cisco-rack-01(FOC2124R0S6)_Ethernet1/46_10.95.158.82,CDP,,,cfx-cisc,2025-03-20T12:54:48.384225,,,,,,,,,,,2025-03-20T12:54:53.511696,,17424752938440528390c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2121R4P2,10.95.158.82,,,,,,,cfx-cisco-rack-02,cfx-cisco-rack-01(FOC2124R0S6)_Ethernet1/45_10.95.158.82,CDP,,,cfx-cisc,2025-03-20T12:54:48.383834,,,,,,,,,,,2025-03-20T12:54:53.511677,,17424752938440528290c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2121R4P2,10.95.158.82,,,,,,,cfx-cisco-rack-02,N5548-DR-B(SSI154300PX)_Ethernet1/26_10.95.158.82,CDP,,,cfx-cisc,2025-03-20T12:54:48.383489,,,,,,,,,,,2025-03-20T12:54:53.511659,,17424752938440528190c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2121R4P2,10.95.158.82,,,,,,,cfx-cisco-rack-02,N5548-DR-B(SSI154300PX)_Ethernet1/25_10.95.158.82,CDP,,,cfx-cisc,2025-03-20T12:54:48.383148,,,,,,,,,,,2025-03-20T12:54:53.511640,,17424752938440528090c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2121R4P2,10.95.158.82,,,,,,,cfx-cisco-rack-02,cisco-rack-01_GigabitEthernet2/0/4_10.95.158.82,CDP,,,cfx-cisc,2025-03-20T12:54:48.371575,,,,,,,,,,,2025-03-20T12:54:53.510840,,17424752935360523990c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2124R0S6,10.95.158.81,,,,,,,cfx-cisco-rack-01,Not Available_Not Available_10.95.158.81,CDP,,,cfx-cisc,2025-03-20T12:54:48.371354,,,,,,,,,,,2025-03-20T12:54:53.510822,,17424752935360523890c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2124R0S6,10.95.158.81,,,,,,,cfx-cisco-rack-01,cfx-cisco-rack-02(FOC2121R4P2)_Ethernet1/48_10.95.158.81,CDP,,,cfx-cisc,2025-03-20T12:54:48.370444,,,,,,,,,,,2025-03-20T12:54:53.510781,,17424752935360523690c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2124R0S6,10.95.158.81,,,,,,,cfx-cisco-rack-01,cfx-cisco-rack-02(FOC2121R4P2)_Ethernet1/47_10.95.158.81,CDP,,,cfx-cisc,2025-03-20T12:54:48.370196,,,,,,,,,,,2025-03-20T12:54:53.510761,,17424752935360523590c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2124R0S6,10.95.158.81,,,,,,,cfx-cisco-rack-01,cfx-cisco-rack-02(FOC2121R4P2)_Ethernet1/46_10.95.158.81,CDP,,,cfx-cisc,2025-03-20T12:54:48.369799,,,,,,,,,,,2025-03-20T12:54:53.510741,,17424752935360523490c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2124R0S6,10.95.158.81,,,,,,,cfx-cisco-rack-01,cfx-cisco-rack-02(FOC2121R4P2)_Ethernet1/45_10.95.158.81,CDP,,,cfx-cisc,2025-03-20T12:54:48.369424,,,,,,,,,,,2025-03-20T12:54:53.510720,,17424752935360523390c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2124R0S6,10.95.158.81,,,,,,,cfx-cisco-rack-01,N5548-DR-A(SSI15460D73)_Ethernet1/25_10.95.158.81,CDP,,,cfx-cisc,2025-03-20T12:54:48.369088,,,,,,,,,,,2025-03-20T12:54:53.510700,,17424752935360523290c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2124R0S6,10.95.158.81,,,,,,,cfx-cisco-rack-01,N5548-DR-A(SSI15460D73)_Ethernet1/26_10.95.158.81,CDP,,,cfx-cisc,2025-03-20T12:54:48.366734,,,,,,,,,,,2025-03-20T12:54:53.510682,,17424752935360523190c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C56128P,FOC2124R0S6,10.95.158.81,,,,,,,cfx-cisco-rack-01,cisco-rack-01_GigabitEthernet2/0/3_10.95.158.81,CDP,,,cfx-cisc,2025-03-20T12:54:48.343167,,,,,,,,,,,2025-03-20T12:54:53.509766,,17424752935360518990c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,,,,,,,N5K-B.engr.cloudfabrix.com,Not Available_Not Available_10.95.158.10,CDP,,,N5K-B.en,2025-03-20T12:54:48.342748,,,,,,,,,,,2025-03-20T12:54:53.509748,,17424752935360518890c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,,,,,,,N5K-B.engr.cloudfabrix.com,N5K-A(SSI181901HL)_Ethernet1/20_10.95.158.10,CDP,,,N5K-B.en,2025-03-20T12:54:48.342220,,,,,,,,,,,2025-03-20T12:54:53.509711,,17424752935360518690c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,,,,,,,N5K-B.engr.cloudfabrix.com,N5K-A(SSI181901HL)_Ethernet1/19_10.95.158.10,CDP,,,N5K-B.en,2025-03-20T12:54:48.337879,,,,,,,,,,,2025-03-20T12:54:53.509691,,17424752935360518590c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,,,,,,,N5K-B.engr.cloudfabrix.com,N5K-A(SSI181901HL)_Ethernet1/18_10.95.158.10,CDP,,,N5K-B.en,2025-03-20T12:54:48.337456,,,,,,,,,,,2025-03-20T12:54:53.509673,,17424752935360518490c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,,,,,,,N5K-B.engr.cloudfabrix.com,N5K-A(SSI181901HL)_Ethernet1/17_10.95.158.10,CDP,,,N5K-B.en,2025-03-20T12:54:48.337193,,,,,,,,,,,2025-03-20T12:54:53.509654,,17424752935360518390c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,,,,,,,N5K-B.engr.cloudfabrix.com,cisco-rack-01_TenGigabitEthernet2/1/1_10.95.158.10,CDP,,,N5K-B.en,2025-03-20T12:54:48.335461,,,,,,,,,,,2025-03-20T12:54:53.509508,,17424752935360517690c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,,,,,,,N5K-B.engr.cloudfabrix.com,cisco-rack-01_TenGigabitEthernet2/1/2_10.95.158.10,CDP,,,N5K-B.en,2025-03-20T12:54:48.335210,,,,,,,,,,,2025-03-20T12:54:53.509489,,17424752935360517590c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,,,,,,,N5K-B.engr.cloudfabrix.com,CFX-MainSwitch.cfx.local_GigabitEthernet0/9_10.95.158.10,CDP,,,N5K-B.en,2025-03-20T12:54:48.330915,,,,,,,,,,,2025-03-20T12:54:53.509469,,17424752935360517490c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,,,,,,,N5K-B.engr.cloudfabrix.com,N5548-DR-A(SSI15460D73)_Ethernet1/9_10.95.158.10,CDP,,,N5K-B.en,2025-03-20T12:54:48.330695,,,,,,,,,,,2025-03-20T12:54:53.509438,,17424752935360517390c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,,,,,,,N5K-B.engr.cloudfabrix.com,ommegang-FI-A-B(SSI182007PX)_Ethernet1/21_10.95.158.10,CDP,,,N5K-B.en,2025-03-20T12:54:48.330462,,,,,,,,,,,2025-03-20T12:54:53.509419,,17424752935360517290c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,,,,,,,N5K-B.engr.cloudfabrix.com,ommegang-FI-A-B(SSI182007PX)_Ethernet1/22_10.95.158.10,CDP,,,N5K-B.en,2025-03-20T12:54:48.330224,,,,,,,,,,,2025-03-20T12:54:53.509401,,17424752935360517190c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,,,,,,,N5K-B.engr.cloudfabrix.com,ommegang-FI-A-B(SSI182007PX)_Ethernet1/20_10.95.158.10,CDP,,,N5K-B.en,2025-03-20T12:54:48.329952,,,,,,,,,,,2025-03-20T12:54:53.509383,,17424752935360517090c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,,,,,,,N5K-B.engr.cloudfabrix.com,ommegang-FI-A-B(SSI182007PX)_Ethernet1/19_10.95.158.10,CDP,,,N5K-B.en,2025-03-20T12:54:48.329734,,,,,,,,,,,2025-03-20T12:54:53.509365,,17424752935360516990c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,,,,,,,N5K-B.engr.cloudfabrix.com,NetAppRackSwitch_GigabitEthernet1/3_10.95.158.10,CDP,,,N5K-B.en,2025-03-20T12:54:48.328628,,,,,,,,,,,2025-03-20T12:54:53.509272,,17424752935360516490c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5548UP,SSI181901HL,10.95.158.9,,,,,,,N5K-A,Not Available_Not Available_10.95.158.9,CDP,,,N5K-A,2025-03-20T12:54:48.328387,,,,,,,,,,,2025-03-20T12:54:53.509253,,17424752935360516390c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5548UP,SSI181901HL,10.95.158.9,,,,,,,N5K-A,CFX-MainSwitch.cfx.local_GigabitEthernet0/14_10.95.158.9,CDP,,,N5K-A,2025-03-20T12:54:48.327890,,,,,,,,,,,2025-03-20T12:54:53.509214,,17424752935360516190c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5548UP,SSI181901HL,10.95.158.9,,,,,,,N5K-A,CFX-MainSwitch.cfx.local_GigabitEthernet0/13_10.95.158.9,CDP,,,N5K-A,2025-03-20T12:54:48.327649,,,,,,,,,,,2025-03-20T12:54:53.509194,,17424752935360516090c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5548UP,SSI181901HL,10.95.158.9,,,,,,,N5K-A,NetAppRackSwitch_TenGigabitEthernet1/50_10.95.158.9,CDP,,,N5K-A,2025-03-20T12:54:48.327402,,,,,,,,,,,2025-03-20T12:54:53.509177,,17424752935360515990c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5548UP,SSI181901HL,10.95.158.9,,,,,,,N5K-A,NetAppRackSwitch_TenGigabitEthernet1/49_10.95.158.9,CDP,,,N5K-A,2025-03-20T12:54:48.326953,,,,,,,,,,,2025-03-20T12:54:53.509159,,17424752935360515890c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5548UP,SSI181901HL,10.95.158.9,,,,,,,N5K-A,N5K-B.engr.cloudfabrix.com(SSI144913H3)_Ethernet1/20_10.95.158.9,CDP,,,N5K-A,2025-03-20T12:54:48.326585,,,,,,,,,,,2025-03-20T12:54:53.509141,,17424752935360515790c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5548UP,SSI181901HL,10.95.158.9,,,,,,,N5K-A,N5K-B.engr.cloudfabrix.com(SSI144913H3)_Ethernet1/19_10.95.158.9,CDP,,,N5K-A,2025-03-20T12:54:48.326184,,,,,,,,,,,2025-03-20T12:54:53.509122,,17424752935360515690c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5548UP,SSI181901HL,10.95.158.9,,,,,,,N5K-A,N5K-B.engr.cloudfabrix.com(SSI144913H3)_Ethernet1/18_10.95.158.9,CDP,,,N5K-A,2025-03-20T12:54:48.325810,,,,,,,,,,,2025-03-20T12:54:53.509103,,17424752935360515590c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5548UP,SSI181901HL,10.95.158.9,,,,,,,N5K-A,N5K-B.engr.cloudfabrix.com(SSI144913H3)_Ethernet1/17_10.95.158.9,CDP,,,N5K-A,2025-03-20T12:54:48.325580,,,,,,,,,,,2025-03-20T12:54:53.509085,,17424752935360515490c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5548UP,SSI181901HL,10.95.158.9,,,,,,,N5K-A,N5548-DR-B(SSI154300PX)_Ethernet1/12_10.95.158.9,CDP,,,N5K-A,2025-03-20T12:54:48.324228,,,,,,,,,,,2025-03-20T12:54:53.508991,,17424752935360514990c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5548UP,SSI181901HL,10.95.158.9,,,,,,,N5K-A,N5548-DR-B(SSI154300PX)_Ethernet1/9_10.95.158.9,CDP,,,N5K-A,2025-03-20T12:54:48.320710,,,,,,,,,,,2025-03-20T12:54:53.508954,,17424752935360514790c6c138,1,,,,,,,,,,,,,
,,Cisco Systems,N5K-C5548UP,SSI181901HL,10.95.158.9,,,,,,,N5K-A,QA-Rack-Switch-1.cfx.local_GigabitEthernet1/0/47_10.95.158.9,CDP,,,N5K-A,2025-03-20T12:54:48.320436,,,,,,,,,,,2025-03-20T12:54:53.508932,,17424752935360514690c6c138,1,,,,,,,,,,,,,
